termTitle,part-of-language,partOfDefinition
nan isht ikbi,(n),"something you make things with: utensil, recipe"
nan isht shileli,(n),"something to dry with: towel, dish towel, hand towel, napkin, etc."
nan itt?lhk?ta,(n),"something patched or pieced together: a pieced quilt, patchwork quilt"
nan offo,(n),"a plant (of any kind), vegetation"
nan offo hishi,(n),leaves of plants
nan okcha?ki,(n),"raw food: greens, vegetables, produce, etc."
nan ola,(n),"something that produces music: radio, bell, chime, musical instrument, etc."
nan ott?ni,(n),a revelation
nan ?lhpisa,(n),"law, rule, regulation"
Nan ?lhpisa Chito,(n),the Ten Commandments
nan ?lhpoa,(n),"tame animal, anything raised by cultivation and care (domestic trees, plants, stock, fruit, etc.)"
nan ?lhpoa im alikchi,(n),veterinarian (new word)
nan ?lhtoka,(n),"elected official, law officer, sheriff"
nan ?ni,(n),"fruit, berries"
nan ?nnoa,(n),story
nan ?nnoachi,(n),an announcer
nan ?pa,(n),"things to eat, edible things, food"
nan ?pa okcha?ki,(n),salad
nan ?pi,(n),"vine, stem, trunk (of a tree)"
nan ?sh?chi,(n),sin
nana,(Indefinite),"thing, something"
nana kia,(Indefinite),"anything, whatever"
nana kiyo,(Indefinite),"nothing, not anything"
nanta,(Interrogative),what
nanukachi,(v),"to say things, counsel, advise, make a noise, grumble (of one’s stomach), murmur (of a crowd), coo (of a baby, etc.) (from )"
nashoba,(n),wolf
nashoba holba,(n),coyote
nashobushi,(n),"wolf pup, young wolf"
nashobushi holba,(n),coyote pup
nia,(v),to be fat
nia,(adj),fat
nihi,(n),"seed, grain"
ninak,(n),night
ninak hopaki,(n),late at night
ninak ikl?nna,(n),midnight
ninakash,(n),last night
nipi,(n),"meat, flesh"
nipi bota,(n),"ground meat: sausage, ground beef, etc."
nipi b?shli,(n),butcher
nipi hal?lli,(v),"to have a convulsion, fit, seizure"
nipi hal?lli,(n),a seizure
nipi shobohli,(n),bacon
nipi ?lb?ni,(n),barbecued meat
nipi ?pa,(n),cancer
nishkin,(n),eye
nishkin alata,(n),eyeglasses
nishkin alikchi,(n),"eye doctor, optometrist (new word)"
nishkin chukbika,(n),"the corner of the eye, edge of the eye"
nishkin hakshup,(n),eyelid
nishkin homma,(n),a red eye
nishkin h?lba,(n),"eye matter, eye discharge"
nishkin h?ta,(n),"filmy eyes, eyes with a pale, frosted look, a light-colored eye"
nishkin i? lumbo,(n),eyeball
nishkin i? tohbi,(n),the white of the eye
nishkin ittas?nali,(n),crossed eyes
nishkin ittiompitama,(n),crossed eyes
nishkin lusa,(n),a black eye
nishkin l?pa,(n),blind eyes (used in the Bible)
nishkin m?lanta,(n),dazzled eyes (as when sun gets in the eyes)
nishkin nihi,(n),pupil of the eye
nishkin okchamali,(n),green eyes
nishkin okchi,(n),"tear, teardrop"
nishkin shili?hchi,(n),eyelash
nishkin sh?naia,(n),crossed or crooked eyes
nishkin t?lhha,(n),"a cataract, a film over the pupil of the eye"
nishkin ?hli,(n),"edge of the eye, corner of the eye"
nishkin wishakchi,(n),corner of the eye
nita,(n),bear
nittak,(n),day
nittak af?mmi,(n),"birthday (this is the more common term, though some interpret it as ?birth year’)"
nittak hlopulli,(adv),throughout the day
Nittak Hullo,(n),Sunday
nittak hullo,(n),"a holy or sacred day, holiday"
Nittak Hullo ach?ffa,(n),"one week (literally, one Sunday)"
Nittak Hullo Chito,(n),Christmas
Nittak Hullo i? Misha,(n),Tuesday
Nittak Hullo Ibaiyi,(n),Friday
Nittak Hullo Ikl?nna,(n),Wednesday
Nittak Hullo Imoshi,(n),Thursday
Nittak Hullo Nakfish,(n),Saturday
Nittak Hullo tuk Onna,(n),Monday
nittak ikl?nna,(n),"noon, mid-day"
nittak ?tta tok,(n),the day someone was born
nitushi,(n),bear cub
Nofimba,(n),November
noti,(n),tooth
noti alikchi,(n),dentist (new word)
noti chiluk,(n),a cavity (in a tooth)
noti chukbi,(n),teeth in the back of the mouth
noti holba,(n),"false teeth, dentures"
noti hottupa,(n),toothache
noti isht hopa?sa,(n),"molars, back teeth"
noti isht ittibi,(n),a tooth for fighting: tusk
noti isht shinli,(n),"toothpick, dental floss (new word)"
noti lob?ffi,(v),"to pull out a tooth, extract a tooth"
noti tikba,(n),front teeth
noti tushbi,(n),"decayed tooth, rotten tooth"
nowa,(v),(one) to walk
now?t a?ya,(v),"(one) to walk along, visit, travel"
now?t a?ya,(n),"visitor, guest"
nukha?klo,(v),"to be sad, regretful"
nukhl?kancha,(v),"to be surprised, startled, frightened, amazed, astonished"
nukhl?kancha,(adj),"surprised, startled, frightened, amazed, astonished"
nukhobela,(v),"to be furious, enraged, angry, resentful, bitter"
nukh?ma,(v),"to be in severe pain, agony, have menstrual cramps, have pain from labor"
nukh?mmi,(v),"to be in pain, hurting, sharp, severe"
nukh?mmichi,(v),"to hurt (someone, of a disease, etc.), cause pain"
nukkilli,(v),"to hate, abhor"
nukoa,(v),"to be angry, mad"
nukoa,(adj),"angry, mad"
nukoa hosh,(adv),"angrily, in anger"
nukshila,(v),"to be hoarse, have a dry throat"
nukshilachi,(v),"to make (someone) thirsty, cause hoarseness"
nukshobli,(v),"to scare (someone), frighten, terrify, intimidate"
nukshopa,(v),"to fear, be afraid, scared, fearful"
nukshopa,(adj),"scared, afraid"
nuktakali,(v),"to choke, have something lodged in the throat"
nuktanla,(v),"to be at peace, calm (emotionally), calm or quiet (of the weather)"
nukti?fa,(v),to choke
nukti?ffi,(v),"to choke (a chicken, etc.), strangle"
nuktimek?chi,(v),"to beat, palpitate (of the heart), pulsate"
nukt?hla,(v),"to be jealous, suspicious, to mistrust"
nukt?la,(v),"to be comforted, even tempered"
nukt?la,(n),"peace (a feeling of comfort after an illness, death, etc.)"
nukt?lali,(n),"a comforter, source of comfort"
nukwia,(v),"to be shy, timid, introverted, quiet, reserved"
nukwia iksho,(adj),"brave, bold"
nuna,(adj),cooked
nuna,(v),"to be cooked (of food), baked, roasted, boiled, be done (of a steak), be ripe (of fruit)"
nunachi,(v),"to cook, bake (something)"
nun?t shila,(v),to be cooked dry (like rice when it’s done)
nushkobo,(n),head
nushkobo foni,(n),skull
nushkobo hottupa,(v),to have a headache
nushkobo hottupa shahli,(n),a migraine
nushkobo lupi,(n),brain
nushkoboka,(n),"leader, president, boss"
nusi,(v),"to sleep, be asleep"
nusi,(n),acorn
nusi b?nna,(v),"to want to sleep, be sleepy"
nusika,(v),to dream
nusika,(n),a dream
nusit ia,(v),(one) to go to bed
nus?pi,(n),"oak tree (black oak, red oak, etc.)"
nuta,(pp),under
nutaka,(pp),"beneath, below"
nutakachit,(v),"(going or doing) beneath, under"
nutakfa,(n),"jaw, chin"
nutakfa wishakchi,(n),chin
nutakfish,(n),"whiskers, beard"
n?hla,(v),to be shot
n?hli,(v),"to shoot (a deer, etc.)"
n?ki,(n),"bullet, dart"
n?li,(n),back (of the body)
n?lli,(v),to swallow more than once
n?ni,(n),fish
n?ni chito,(n),"a great fish, whale"
n?ni hokli,(v),"to catch fish, fish (using a rod and reel, etc.)"
n?ni hokli,(n),"one who catches fish, a fisherman"
n?ni i? takachi,(v),to hang (a line) for fish
n?ni isht ?bi,(n),"fishhook, fishnet"
n?ni kishena,(n),buffalo fish
n?ni p?t?ssa,(n),sunfish (generally the green sunfish)
n?ni sakli,(n),bass (generally the largemouth bass)
n?ni sinti,(n),eel
n?ni ?bi,(v),"to catch fish (in the traditional way with a gig, a bow and arrow, poison, etc.)"
n?ni ?bi,(n),"a fisher, fisherman"
n?ni yukachi,(v),to catch fish (with a trap or with the hands)
n?ni yukachi,(n),"a fish trap, seine for fishing"
n?nih,(n),hill
n?nih chaha,(n),"mountain, big hill"
n?nih chito,(n),"mountain, big hill"
N?nih H?cha,(n),Mountain Fork river
N?nih Waiya,(n),"Nanih Waiya: an earthwork mound in Winston County, Mississippi, thought by some to be the sacred origin of the Choctaw people"
n?nokwehli,(v),to fish
n?n?bli,(v),"to swallow (food, medicine) once"
n?n?bli,(n),Adam’s apple
n?shoka,(n),face
n?shoka isht ahchifa,(n),washcloth
,,
o? bihlibli,(v),"to point at (someone or something) in particular, point out"
o? fimibli,(v),"to sprinkle, flick, splash (water, etc.) on"
o? fohobli,(v),"to pour (a container of water, etc.) on (a fire, etc.)"
o? ha?bli,(v),to be stepping on (something)
o? hika,(v),"to step on (a bug, etc.)"
o? hiki?a,(v),(one) to be standing on (something)
o? talali,(v),"to set (something that will sit, like a cup, coffee pot, box) on top of (something), place on"
o? talaya,(n),"what something rests on: base, foundation, etc."
o? tala?ya,(v),"(one) to be setting on, resting on (of a vase, coffee cup, something with a base)"
o? tolubli,(v),"to pounce on, jump on"
o? weli,(v),to aim (something) at
ochi,(v),to draw (water)
offo,(v),"to grow (of a plant), sprout (of seeds)"
offo,(n),a sprout
offo achukma,(v),"to grow well (of a plant), thrive"
offochi,(v),to cause (a plant) to grow
ofi,(n),dog
ofi haksobish falaya,(n),"any dog with long ears: a hound, etc."
ofi hob?k,(n),a neutered dog
ofi nukshopa,(n),wild dog
ofi ?lhtakla,(n),"a stray dog, dog that’s lost its owner"
ofonlo,(n),screech-owl
ofo?sik,(n),puppy
ohmi,(v),to be like (something)
ohoyo,(n),woman
ohoyo himithoa,(n),young women
ohoyo himitta,(n),young woman
ohoyo ilap ba?no,(n),a single woman
ohoyo mi?ko,(n),"queen, female leader"
ohoyo sipokni,(n),old woman
ohoyo ?lhtakla,(n),widow
oka,(n),water
oka abicheli,(n),"place where water pours from: spigot, faucet, spout, etc."
oka aiilli,(v),"to die in the water, drown"
oka aiishko,(n),water fountain
oka alikchi,(n),sulphur water (water with minerals in it given for cleansing)
oka anowa,(v),"to walk in the water, wade"
oka homi,(n),"whiskey, alcohol, liquor"
oka ibani,(v),to add water
oka ipeta,(v),"to water (a plant, etc.), give water to (a horse, etc.)"
oka ittula,(v),to fall in the water
oka k?llo,(n),hard water
oka k?nia,(v),(one) to sink (specifically in water)
oka liteha,(n),dirty water
oka l?palika,(n),"the shore, side (of the water), bank"
oka mahli,(n),south
oka omba,(n),rain water
oka pa?ki,(n),wine (term used in the Bible)
oka pa?ki okchi haw?shko,(n),wine
oka pakna bininli,(v),(one) to be sitting on top of the water
oka pakna tala?ya,(v),"(one) to be setting on top of the water (of a boat, something with a base)"
oka peni,(n),boat
oka peni chito,(n),ship
oka pit afohopa,(n),waterfall
oka talaya,(n),"a body of water: a lake, pond, puddle, etc."
oka t?bli,(v),"to dam (a river, etc.)"
oka t?bli,(n),a dam
oka wehli,(v),"to take from water, take out of water"
oka y?n?lli,(n),"flowing water, running water"
okahchi,(v),"to put (something) in (water, a well, etc.), drop (something) in (water)"
okami,(v),to wash the face
okbushli,(v),to
okcha,(v),"to wake up, awake"
o?kcha,(v),to be awake
okcha?k,(n),"cantaloupe, muskmelon"
okcha?k holba,(n),cucumber
okcha?ki,(adj),"raw, green (of wood), fresh, unripe"
okchakko,(v),to be blue
okchakko,(adj),blue
okchalinchi,(v),"to save, resurrect, revive (a patient, etc.) (Biblical word)"
Okchalinchi,(n),"the Redeemer, Savior"
okchamali,(v),"to be green (or blue, for some)"
okchamali,(adj),green
okchanlush chito,(n),peacock
okchauwi,(adj),"watery, soupy"
okcha?ya,(v),"to be alive, living (of a human, animal, plant)"
okcha?ya,(n),life
okchi,(n),"juice, liquid, broth"
okchi lawa,(v),to be juicy
okchito,(n),"flood, high water"
okch?hla,(n),blackbird
okch?li,(v),to wake (someone) up
okch?lichi,(v),"to awaken (someone), wake, revive"
oke,,a marker appearing after a verb for emphasis and translating as ?surely’ or ?of course’
okfa,(n),"valley, ravine"
okfia,(v),to have diarrhea
okfia,(n),diarrhea
okfochush,(n),duck
okfowata,(v),"to be across (a bed, etc.)"
okfulush,(n),"a mussel, clam (from )"
okhina,(n),"a waterway, riverbed, where water flows"
okhisa,(n),door
okhi?sh,(n),medicine
okhisushi,(n),window
okhlawinli,(v),"to be streaked, smeared (of a child’s face, etc.)"
okhlibbeli,(v),to have the eyes all the way open
okhlibili,(v),
okhlilahpi,(n),dusk
okhlili,(v),to get dark
okhlilika,(v),"to be dark (of a room, at dusk, etc.), lacking light"
okh?ta,(n),"sea, gulf"
okh?ta chito,(n),"sea, ocean"
okh?ta i? t?nn?p,(n),overseas
okla,(n),"people, nation, group, community, citizens"
oklobbi,(v),"to dive in (water) repeatedly, go underwater"
oklobushli,(v),"to immerse, soak (clothes, etc.), plunge (a towel, etc.) underwater, baptize by immersion"
oklobushli,(n),a diver
oklu?ha,(adj),all (older word)
oklu?ha hosh,(adv),"with all one’s might, very much"
oklushi,(n),"tribe, race, nationality"
oklushi inla,(n),"other races of peoples (Plains Indians, Mexicans, etc.)"
okmocholi,(v),to close the eyes
okokaiilli,(v),to drown
okpulo,(v),"to break, be broken, broken down, wrecked (of a car, clock, shoe, etc.)"
okpulo,(adj),"mean, bad (of a person), wicked"
okpulot taha,(v),"to be no good, damaged, destroyed, spoiled, ruined, completely lost, to have perished"
okp?lali,(v),"to float, drift"
okp?lali,(n),"bobber, float (for fishing)"
okp?ni,(v),"to destroy, wreck (something), break (a tool, etc.), ruin, hurt, contaminate, corrupt"
oksak,(n),hickory nut
oksak f?la,(n),pecan nut
oksak hahi,(n),walnut
oksak okchi,(n),hickory nut juice (added to  for flavor)
oksak ulhkumo,(n),"hickory nut soup (made with meat of hickory nut, sweet potatoes, and hominy)"
oksak ?pi,(n),hickory tree
okshichanli,(v),"to be see-through, thin, loosely woven (of a screen, fabric, etc.)"
okshimmichi,(v),"to mist, be misty, sprinkle"
okshimmichi,(n),mist
okshinilli,(v),"to swim (of a person, fish, duck, etc.)"
oktaiyani,(v),"to finally be clear, evident, visible, revealed"
oktak,(n),"prairie, meadow, valley"
okti,(n),"ice, icicle"
oktipushi,(n),"fine snow (on the ground), powdery snow"
oktoboli,(v),to be foggy
oktohbi,(v),to be foggy
oktohbi,(n),"fog, haze, mist, whitish vapor"
oktohbichi,(v),"to be foggy, hazy, misty"
oktusha,(v),to snow
oktusha,(n),snow
okt?bli,(v),"to block (someone), dam (a stream), cut off, obstruct, intercept"
okt?bli,(n),"a cut off or obstruction: sink stopper, pipe cap, etc."
okt?ni,(v),"to be revealed, appear"
okt?ni,(adj),revealed
okt?nichi,(v),"to expose (something), make (something) known, show, reveal (in the mind), explain, clarify"
okt?nit taha,(v),"to be completely clear, clearly evident"
ok?ttula,(v),"to set (of the sun), fall into water, plunge"
ola,(v),"to sound, sing (of a bird), crow, chirp, ring (of a bell or telephone), chime, play (of a radio, piano, etc.)"
ola,,"this way, in this direction (used before a verb)"
ola t?nn?p,(n),this side
olabichi,(n),
olachi,(v),"to ring (a bell), play (a trumpet, etc.)"
olanli,(v),"to be near, close, nearby"
olanli,(adj),"nearby, close"
olanlosi,(v),"to be very near, very close"
olimma,(adv),"this way, this direction"
ollulhti,(v),"to be started, be lit (of a fire)"
ol?bi,(v),to correct
omba,(v),to rain
omba,(n),rain
omba chito,(n),"big rain, rain storm"
omba okpulo,(n),"bad rain, storm"
ombinili,(v),"(one) to ride on (a horse, etc.)"
ome!,(interj),okay! (an acknowledgment)
omik?to,(interj),
ompit?mmi,(v),"to pass by, go past, lap over (like shingles)"
ompohomo,(v),"to cover (a car, a pot, a house)"
on,,"a marker appearing before a verb and meaning ?on’, ?upon’, or ?on top of’"
on ashachi,(v),"to place (three or more) on top of (something), put on, lay on"
on ittonla,(v),(one) to be lying on (something)
on ittula,(v),to fall on (something)
ona,(v),"(one) to get there, arrive"
onachukma,(v),"to be plentiful, more than enough"
onafa,(n),winter (older word)
onafahpi,(n),"fall, autumn (older word)"
ona?hosi,(v),"to be almost there, to have almost arrived there"
onchuloli,(v),"to send up offshoots, sprout (of a plant, etc.), increase"
onna,(v),to dawn
onna,(n),"dawn, daylight, morning light"
onnaha,(adv),tomorrow
onnahinli,(n),morning
onnahinli impa,(n),breakfast
onnakma,(adv),tomorrow
onn?chi,(v),"to occur until morning, do all night"
onohchi,(v),to blame (someone)
onohchi,(v),"to put on (a quilt, cape, etc.)"
onohchichi,(v),to be putting (something around the neck) on (someone else)
ont,,a marker appearing before a verb and meaning ?go and (do something)’:  to go and give.
ont ai?hli,(n),"the end, ending, edge"
ont ashachi,(v),to go place (three or more) over there
ont fullota,(v),"to go around without purpose, meander"
ont ia,(v),"(one) to go past (a house, etc.)"
ont ishi,(v),"to go pick up, go get (something)"
ont ittonla,(v),(one) to be lying over there
ont ittula,(v),to fall that way
ont pihsa,(v),"to go see briefly, go check on (something), visit briefly"
ont pisa,(v),"to go look, go see"
ont taha,(v),"to be finished, ended, completed"
onu?hchi,(v),"to be wearing (something around the neck or shoulders, like a scarf, jewelry, a yoke, cowbell, etc.)"
onush,(n),"small grain: rice, oats, wheat, rye, etc."
onush ashela,(n),"cooked grain (cooked rice, wheat, oats, etc.), or mush as in cornmeal mush or farina"
onush bota,(n),"wheat flour, rice flour"
opa,(n),owl (general term)
oppia,(v),"to become dusk, get to be evening"
oppia,(n),evening
oppia impa,(n),"evening meal: dinner, supper, etc."
oppiaka,(n),"toward evening, just before it gets dark"
osapa,(n),"field (cultivated or uncultivated, fenced or unfenced), a lot, a cornfield"
osapa atoks?li,(n),"planter, gardener"
osapushi,(n),"garden, a small field, a patch"
osh?n,(n),otter
osh?to,(n),womb
osh?tto im ?lhk?ma,(adj),"barren, having a closed womb"
oski,(n),river cane
oski n?ki,(n),arrow
o?ssi,(n),eagle
o?ssini,(n),bumblebee
oti,(v),"to start (a fire), kindle, light (a fire), strike (a fire)"
owe!,(interj),an expression of surprise: oh!
ow?tta,(v),to hunt
ow?tta,(n),hunter
,,
pahta,(v),"to be wide, broad (of a road, etc.)"
pahta,(adj),"wide, broad, extensive"
paht?chi,(v),"to widen (a road, etc.), broaden"
paiofa,(v),"to be dented (of a car, etc.)"
paiofa,(adj),dented
paioffi,(v),"to dent (a car, etc.), batter"
pakanli,(v),"to bloom (of a plant), blossom"
pa?ki,(n),grape
pa?ki okchi,(n),grape juice
pa?ki okchi homi,(n),wine
pa?ki shila,(n),raisin
pa?ki walakshi,(n),grape dumplings
pakna,(n),the top (of something)
paknaka,(pp),"above, over"
pakna?ka,(n),"the very top (of a table, etc.), surface, peak"
paknanli,(n),"the surface, the very top (of a table, etc.)"
pakn?kachi,(v),to place (something) above
pakti,(n),mushroom
pa?k?pi,(n),grape vine
pa?sh ?mo,(n),
pa?shahama,(n),"hair oil, hair tonic"
pa?shf?lakto,(n),scissortail
pa?shi,(n),hair on the head
pa?shi apoksia,(n),
pa?shi bonota,(n),hair in a bun
pa?shi isht shilli,(n),comb
pashohli,(v),"to feel (something several times), caress, touch"
pa?shpoa,(v),to be swept
pa?shpoa,(adj),swept
pa?shpuli,(v),"to sweep, brush"
pat?lhpo,(n),"something spread: a pallet, bedding, etc."
pa?ya,(v),"to call out (for help), cry out"
pe,(adv),"just, merely"
pehli,(v),"to scoop up (two or more, like grass, dirt, gravel, beads), take up"
pehlichi,(v),"to lead, direct, moderate"
pehlichi,(n),"leader, director, moderator, guide, scout, emcee"
peni,(n),"boat, ship, barge, canoe"
peni afoha,(n),"train stop, train station"
peni ataya,(n),"boat landing, port, harbor"
peni ayukopa,(n),place where a train stops: train station
peni chito,(n),"a large boat, ship, vessel"
peni isht ?tta,(n),"a worker on a ship: sailor, crewman, boatman, etc."
peni p?tha,(n),"a wide boat: barge, ferry, etc."
peni p?t?ssa,(n),"a flat boat: ferry, pontoon, scow, etc."
penushi,(n),"canoe, small boat, skiff"
pi,,a marker appearing before a verb and meaning ?us’ or ?we’
pichelichi,(v),"to squish (bugs, etc.) repeatedly, squeeze (pimples, etc.)"
pichiffi,(v),"to squeeze (a tomato, etc.), squish (a bug, etc.) once"
piesa,(v),to be staring
pihchahli,(n),rat
pihsa,(v),"to take a quick look at, see briefly, glance at, study quickly, try"
pikofa,(v),"to be scraped (of one’s elbow, etc.), skinned"
pikoffi,(v),"to scrape (a knee, etc.), skin"
pila,,toward (a place)
pila,(v),"to send (a package, a person, etc.)"
pilashash,(n),yesterday
piliffi,(v),to
pilla,,a long way toward (a place)
pilla,(adj),free (without cost)
pim,,a possessive marker appearing before a noun and meaning ?our’
pimmi,(pro),ours
pinak,(n),"cold prepared food, provisions, sack lunch, groceries"
pinti,(n),mouse
pisa,(v),"to look, look at (someone or something), study, examine, find, detect"
pi?sa,(v),to see (someone or something)
pisa achukma,(v),"to look good, be beautiful, handsome, pretty"
pisa achukma,(adj),"good-looking, handsome, beautiful, pretty"
pisa chiyyohmi,(v),"to really look, look closely, look (someone) up and down"
pisa fehna,(v),"to look very closely, glare at, stare at"
pisa hinla,(v),to be able to see
pisa ka? champuli,(v),"to look tasty (of food, etc.)"
pisa okpulo,(v),"to be ugly, deformed, grim (of weather, etc.)"
pisa okpulo,(adj),ugly
pisachi,(v),"to show, exhibit, cause to see"
pishechi,(v),"to nurse, breastfeed (a baby), feed (a baby with a bottle)"
pishno,(pro),"we, us; our, ours"
pishno ak kia,(pro),"we too, we also"
pishukchi,(n),milk
pishukchi nia,(n),"butter, cream"
pishukchi nia k?llo,(n),cheese
pishukchi nia okchi,(n),buttermilk
pishukchi nia walaha,(n),buttermilk
pishukchi pakna nia,(n),cream
pishukchi walaha,(n),"clabbered milk, curdled milk"
pis?t a?ya,(v),"to go see, go visit"
pis?t issa he kiyo,(v),"to look non-stop, stare"
pis?t nowa,(v),"to look around, visit (someone)"
pit,,a marker appearing before a verb and indicating direction away from the speaker
pit a?sha,(v),(one) to be sitting (facing away)
pit haklo,(v),to listen to (someone)
pit hu?ssa,(v),to shoot that way
pit ima,(v),to give to (someone) in a direction away from the speaker
pit k?nia,(v),(one) to go off
pit pisa,(v),to look that way
pohla,(v),"to be folded several times (of a blanket, etc.)"
pohla,(adj),"folded several times, rolled up"
pohloma,(adj),"folded once, rolled up"
pohlulli,(v),"to spark (of a fire, etc.)"
pohlullichi,(v),to make (something) spark
pohlummi,(v),"to fold (cloth, a tent, etc.) once, roll it up"
pohlummit achunli,(v),"to hem (a dress, etc.), fold and sew"
poiyulla,(v),to be necessary
pokkoli,(num),ten
pokni,(n),grandmother
pokoli chakkali,(num),ninety
pokoli hannali,(num),sixty
pokoli tahlapi,(num),fifty
pokoli tuchina,(num),thirty
pokoli tuklo,(num),twenty
pokoli untuchina,(num),eighty
pokoli untuklo,(num),
pokoli ushta,(num),forty
pokpoki,(n),"scum (on a river, etc.), foam, suds, lather, froth"
pola?ka,(adv),"finally, at last"
ponaklo,(v),"to ask (someone), ask (a question), invite"
ponola,(n),"cotton (plant, cloth)"
ponola k?llo,(n),rope
ponola k?llushi,(n),cord
ponolushi,(n),thread
pota,(v),"to lend (something), borrow"
potoli,(v),to touch (someone or something) once
pu?fa,(v),"to blow (of a person, car horn, trumpet, etc.), to spout (of a whale)"
puhli,(v),to fold (several things or several times)
pulla,(v),"must, to have to (do something)"
pushechi,(v),"to grind (cornmeal, etc.) fine, pulverize it, break (the ground) up"
pushi,(adj),"pulverized, ground fine"
pushnayo,(n),"master, owner (of an animal)"
putta,,"emphatic word: it is bound to be, every, all, only"
puyak?chi,(n),"a ripple, small wave"
p?chalusha,(v),to sleet
p?chalusha,(n),sleet
p?chi,(n),pigeon
p?chi yoshoba,(n),mourning dove
p?hlata,(adj),"split, divided, halved (of a watermelon, etc.)"
p?hli,(v),"to split (several things, like wood)"
p?hl?lli,(v),"to split (one thing, like a watermelon), divide, halve"
p?la,(n),"a light, lamp, lantern"
p?la bila,(n),"lamp oil, kerosene"
p?lali,(v),"to light (a candle), turn on (a light, etc.)"
p?lata,(v),"to feel homesick, lonely, sad"
p?lhki,(v),to be fast
p?lhki,(adj),"fast, quick"
p?lhki hosh,(adv),"quickly, fast"
p?lhkichi,(v),to drive fast
p?l?mmi,(v),"to be extreme (of hunger, pain, etc.), severe, great, intolerable, unbearable"
p?l?mmi,(adj),"difficult, hard"
p?l?ska,(n),bread
p?l?ska anunachi,(n),oven
p?l?ska champuli,(n),"sweet bread: cake, doughnut, pancakes, etc."
p?l?ska haw?shko,(n),sour bread
p?l?ska l?t?ssa,(n),flatbread (a type of bread baked without leavening)
p?l?ska sh?t?mmi iksho,(n),unleavened bread
p?l?ska ?lw?sha,(n),"frybread, doughnut, fritter"
p?na,(v),
p?na,(adj),"braided (of hair), twisted, plaited"
p?nni,(v),to
p?nnichi,(v),"to braid, plait, twist (hair)"
p?sachi,(v),to slap (someone)
p?sak! achi,(v),to make a slapping sound once
p?sak?chi,(v),"to be slapping, flapping several times (like a flag)"
p?ska,(n),dough
p?ska,(v),"to bake (bread, etc.)"
p?ska ikbi,(n),
p?ssa?ha,(v),to spank (someone) more than once (with an open hand)
p?tali,(v),"to spread (a blanket, etc.), lay (tiles, flooring, roofing), cover (a chair, etc.)"
p?t?ffi,(v),"to split open (an animal, etc.), make a furrow, make a trench"
p?t?ssa,(v),"to be flat (of bread, a road, etc.)"
p?t?ssa,(adj),flat
,,
sakka?ha,(v),"to knock (on a door) repeatedly, rap with the knuckles, thump (a watermelon)"
sakki,(v),"to catch up with, overtake"
sakti,(n),"steep bank (of a river), bluff, cliff"
Sat?ti,(n),Saturday
sha?fa,(adj),"scraped, shaved"
sha?ffi,(v),"to shave (a hog), scrape (a hide), peel (a pole, etc.)"
shaha?wa,(v),"to snort continuously (of a deer, etc.)"
shahli,,"to be frequent (of an action or condition), often, excessive, too much"
shakba,(n),arm
shakbatinna,(n),"bobcat, wildcat"
shakchi,(n),crawfish
sha?kulo,(n),bald cypress
shalachi,(v),to drag (something)
shalak?chi,(v),"to slide around, make a sliding sound"
shali,(v),"to carry (a baby, people, etc.), haul (on the back of an animal or in a wagon – not in the arms), transport"
shali,(n),a carrier
shal?lli,(v),"to slide, slip"
shal?llichi,(v),"to drag (something), slide, cause to slip"
shapuli,(n),"a harness, burden"
shapulichi,(v),to harness (horses) (from )
shaui,(n),raccoon
shauwa,(n),"bush, underbrush"
sha?wa,(v),to snort (as of a deer)
shebli,(v),"to stretch (a rubber band, etc.), draw out, extend"
sheki,(n),"buzzard, turkey vulture"
sheki t?pa,(n),black buzzard (smaller buzzard with a short tail)
shema,(v),"to adorn, decorate, trim (a Christmas tree), dress up"
shepa,(v),"to stretch, be stretched (of a rubber band, etc.)"
shepa,(adj),stretched
shi?fa,(v),"to unravel (of a sweater, etc.)"
shi?ffi,(v),"to unravel (a thread), draw out"
shiha,(adj),unraveled
shik?lla,(n),beads
shik?lla innuchi,(n),beaded necklace
shila,(v),"to dry, be dry, be dried (of a towel, skin, fruit, the earth, etc.)"
shila,(adj),dried
shilachi,(v),"to dry (fruit, meat, clothes, etc.)"
shilaklak,(n),goose
shileli,(v),"to dry (something), cure (meat)"
shilli,(v),to comb (the hair)
shilombish,(n),"spirit, soul"
Shilombish Holittopa,(n),"the Holy Spirit, Holy Ghost"
shilukwa,(n),toad
shilup,(n),"ghost, spirit"
shilupha,(n),lungs
shimoha,(v),"to be asleep (of one’s arm, etc.), tingle, be numb"
shinli,(v),"to pick out from (a hole, etc.), pick (the teeth)"
shinoa,(n),a wrinkle (on the face)
shinofa,(v),"to be wrinkled (of hide, fabric, etc.)"
shinuk,(n),sand
shin?p,(n),white ash tree
shin?shbi,(v),to be sticky
shin?shbi,(adj),sticky
shippa,(v),"to go down (of a swelling), subside (of a flood, fever, etc.), dissipate (of heat, etc.), cool"
shiuh!,(interj),phew! (said when something smells bad)
shi?pha,(n),"blueberry, huckleberry"
shi?pha walakshi,(n),blueberry dumplings
shobohli,(v),"to be smoky (of a room, etc.), filled with smoke, to smoke (of a fire)"
shobohli,(adj),smoked
shobohlichi,(v),to smoke (meat)
shobohonta,(v),"to continuously produce smoke (of a car, etc.)"
shobota,(v),"to smoke (of a fire, etc.)"
shobota,(n),"steam, smoke"
